               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.026966,            0.016505,           0.0086009,             0.70771,              0.8119,             0.76906,              0.4748,            0.024696,           0.0076861,           0.0051724,           0.0015127,           0.0015127,            0.074613
                  54,            0.034436,            0.017344,           0.0068799,             0.89592,             0.83333,             0.86895,             0.71108,            0.016475,           0.0077106,           0.0040357,           0.0015066,           0.0015066,            0.074107
                  55,            0.031833,            0.018994,           0.0083169,             0.65572,                0.79,             0.70736,             0.42251,            0.033629,           0.0076597,           0.0039598,           0.0014994,           0.0014994,            0.073599
                  56,            0.051777,            0.016517,            0.010328,             0.53982,             0.78611,             0.66598,             0.34509,            0.035863,           0.0076567,           0.0039695,           0.0014911,           0.0014911,            0.073091
                  57,            0.043162,            0.018331,           0.0080039,             0.87349,                 0.5,             0.68708,             0.27961,            0.033903,           0.0074107,           0.0038067,           0.0014818,           0.0014818,            0.072582
                  58,             0.03516,            0.019023,           0.0062959,             0.99906,             0.81311,             0.90324,             0.61525,            0.021378,           0.0076181,           0.0038683,           0.0014715,           0.0014715,            0.072072
                  59,            0.036792,            0.019634,           0.0074366,             0.68257,             0.66683,             0.75683,             0.51147,            0.029591,           0.0073751,           0.0038666,           0.0014603,           0.0014603,             0.07156
                  60,            0.043003,            0.017355,             0.01009,             0.89868,             0.63933,             0.81534,             0.50693,            0.027304,            0.007349,            0.004275,           0.0014482,           0.0014482,            0.071048
                  61,            0.047922,            0.018646,            0.014958,             0.61759,             0.81029,             0.77544,             0.53161,            0.023552,           0.0072447,           0.0046363,           0.0014353,           0.0014353,            0.070535
                  62,            0.042184,            0.019628,             0.01226,             0.65927,              0.8103,             0.80698,             0.67499,             0.02199,           0.0072383,           0.0042302,           0.0014216,           0.0014216,            0.070022
                  63,            0.036231,            0.016355,           0.0095978,             0.58038,             0.83333,             0.79353,             0.60593,            0.026287,           0.0070733,           0.0045761,           0.0014072,           0.0014072,            0.069507
                  64,             0.03957,             0.01854,            0.010432,             0.81119,             0.66093,              0.7892,             0.62327,            0.023815,           0.0070217,           0.0039764,           0.0013922,           0.0013922,            0.068992
                  65,            0.030291,            0.016505,           0.0053431,             0.89674,             0.63755,               0.798,             0.63521,            0.025566,           0.0069229,           0.0034165,           0.0013765,           0.0013765,            0.068477
                  66,            0.039835,            0.017864,            0.008812,             0.99915,             0.62516,             0.84324,             0.58714,            0.022862,            0.007044,           0.0030366,           0.0013604,           0.0013604,             0.06796
                  67,            0.035024,            0.018689,           0.0060839,                   1,             0.71561,             0.89871,             0.69007,            0.018276,           0.0070184,           0.0028595,           0.0013437,           0.0013437,            0.067444
                  68,            0.029056,            0.015494,           0.0070083,             0.99889,              0.6064,             0.86942,             0.54142,            0.020994,           0.0070299,           0.0028473,           0.0013267,           0.0013267,            0.066927
                  69,            0.028814,            0.017546,           0.0065984,             0.95634,             0.58276,             0.81147,             0.55827,            0.026537,           0.0070836,           0.0027814,           0.0013093,           0.0013093,            0.066409
                  70,            0.031628,            0.016229,           0.0058251,             0.94889,             0.58333,             0.80827,             0.54176,             0.02048,           0.0069486,           0.0026839,           0.0012917,           0.0012917,            0.065892
                  71,            0.031827,            0.015974,           0.0048548,              0.9159,             0.81651,               0.908,             0.62301,            0.022342,           0.0068379,           0.0026456,           0.0012739,           0.0012739,            0.065374
                  72,              0.0327,            0.016595,           0.0054854,                   1,             0.81278,             0.93864,             0.54341,            0.022339,           0.0067543,           0.0025489,           0.0012559,           0.0012559,            0.064856
                  73,            0.024633,            0.017675,           0.0052948,             0.94796,             0.58285,             0.84619,             0.62156,            0.019757,           0.0066597,           0.0024653,           0.0012379,           0.0012379,            0.064338
                  74,            0.030872,            0.015528,           0.0080838,             0.80662,             0.81457,             0.88212,             0.72928,            0.017118,           0.0066094,           0.0024156,           0.0012199,           0.0012199,             0.06382
                  75,            0.029985,            0.016863,           0.0042217,             0.68343,             0.91667,             0.90272,             0.68934,            0.020432,           0.0066248,           0.0023709,            0.001202,            0.001202,            0.063302
                  76,            0.036194,            0.017658,            0.012101,             0.68458,             0.91667,             0.85662,             0.59885,            0.018951,            0.006495,           0.0022795,           0.0011843,           0.0011843,            0.062784
                  77,            0.031511,            0.016578,           0.0060355,             0.84471,             0.91666,             0.93071,             0.75011,            0.018987,             0.00651,           0.0022567,           0.0011668,           0.0011668,            0.062267
                  78,            0.030129,            0.015597,            0.005095,              0.6072,             0.91626,             0.84522,             0.58127,            0.020616,           0.0066138,           0.0022578,           0.0011497,           0.0011497,             0.06175
                  79,            0.033194,             0.01536,           0.0060571,             0.99353,             0.91637,             0.98357,             0.64239,            0.021121,           0.0066974,            0.002276,           0.0011329,           0.0011329,            0.061233
                  80,            0.030299,            0.016634,            0.006186,             0.92847,             0.91558,             0.97214,             0.80194,            0.016245,           0.0064333,           0.0022661,           0.0011166,           0.0011166,            0.060717
                  81,            0.023275,            0.014047,           0.0052983,             0.99997,             0.91038,             0.98357,             0.77456,            0.019902,           0.0064589,            0.002364,           0.0011009,           0.0011009,            0.060201
                  82,            0.029305,            0.018148,           0.0053112,             0.68403,             0.89768,             0.88988,             0.69268,            0.020926,           0.0063929,           0.0025329,           0.0010858,           0.0010858,            0.059686
                  83,            0.034702,            0.017301,           0.0063593,             0.65191,             0.91621,             0.85897,             0.53321,             0.01897,           0.0064538,            0.002578,           0.0010714,           0.0010714,            0.059171
                  84,            0.026192,            0.015534,           0.0050704,              0.8898,                0.75,             0.91435,             0.79209,            0.020524,           0.0062565,           0.0027077,           0.0010578,           0.0010578,            0.058658
                  85,            0.030803,            0.015984,           0.0050807,             0.69527,             0.74761,             0.82976,             0.59857,            0.019932,           0.0062327,           0.0026054,            0.001045,            0.001045,            0.058145
                  86,            0.024203,            0.014739,           0.0038585,                   1,             0.87929,               0.975,             0.67716,            0.018891,           0.0061638,           0.0026738,           0.0010332,           0.0010332,            0.057633
                  87,            0.033213,            0.014961,           0.0051711,             0.69951,             0.74936,             0.82848,             0.59727,            0.017962,           0.0061941,           0.0028884,           0.0010224,           0.0010224,            0.057122
                  88,            0.025696,            0.015455,           0.0051043,             0.89183,             0.83333,             0.92667,             0.69801,            0.018803,           0.0061355,           0.0031302,           0.0010127,           0.0010127,            0.056613
                  89,            0.032072,             0.01513,           0.0044965,             0.96706,             0.83318,              0.9569,             0.77168,            0.015814,           0.0061036,           0.0032873,           0.0010042,           0.0010042,            0.056104
                  90,            0.037995,             0.01609,           0.0090651,             0.65072,             0.83333,             0.82048,             0.58896,            0.020859,            0.006208,            0.003594,          0.00099688,          0.00099688,            0.055597
                  91,            0.031868,            0.016319,           0.0071791,             0.98272,              0.8332,             0.97214,             0.75065,            0.014222,           0.0060462,           0.0041834,           0.0009909,           0.0009909,            0.055091
                  92,            0.036992,            0.015513,            0.004734,             0.98912,             0.83329,             0.97214,             0.67501,            0.020135,           0.0060428,           0.0046151,          0.00098631,          0.00098631,            0.054586
                  93,            0.025768,            0.013571,            0.005705,             0.99171,             0.83305,             0.96357,             0.72392,            0.014142,           0.0059415,           0.0045404,          0.00098318,          0.00098318,            0.054083
                  94,            0.028941,            0.015312,            0.006451,             0.69874,             0.73603,             0.78949,              0.6153,            0.023247,           0.0059415,           0.0050531,          0.00098158,          0.00098158,            0.053582
                  95,            0.035937,            0.015704,           0.0064644,             0.73698,             0.66667,             0.81557,             0.71653,            0.023453,           0.0060596,           0.0052704,          0.00098159,          0.00098159,            0.053082
                  96,            0.034012,            0.016945,           0.0040731,             0.76792,             0.83333,             0.87722,              0.6749,            0.023188,           0.0059189,           0.0059091,          0.00098327,          0.00098327,            0.052583
                  97,            0.030225,             0.01469,           0.0049736,             0.76704,             0.83323,             0.88449,             0.69443,            0.021513,           0.0058637,           0.0065899,          0.00098668,          0.00098668,            0.052087
                  98,            0.024046,            0.013748,           0.0034397,             0.85042,             0.83333,             0.88705,             0.59203,            0.025256,           0.0059508,           0.0075117,           0.0009919,           0.0009919,            0.051592
                  99,            0.044986,             0.01594,           0.0062357,             0.84872,             0.83331,             0.90768,             0.55124,            0.023167,            0.005893,           0.0074769,          0.00099898,          0.00099898,            0.051099
